Province,City
Ontario,Toronto
Ontario,Ottawa
Ontario,Mississauga
Ontario,Brampton
Ontario,Hamilton
Quebec,Montreal
Quebec,Quebec City
Quebec,Laval
Quebec,Gatineau
Quebec,Longueuil
Alberta,Calgary
Alberta,Edmonton
Alberta,Red Deer
British Columbia,Vancouver
British Columbia,Surrey
British Columbia,Burnaby
Manitoba,Winnipeg
New Brunswick,Fredericton
Newfoundland and Labrador,St. John’s
Northwest Territories,Yellowknife
Nova Scotia,Halifax
Nunavut,Iqaluit
Prince Edward Island,Charlottetown
Saskatchewan,Regina
Yukon,Whitehorse
